trip_id,arrival_time,departure_time,stop_id
390,20:12:00,20:12:00,c29
391,20:40:00,20:40:00,c6
391,20:50:00,20:50:00,c29
392,21:10:00,21:10:00,c6
392,21:20:00,21:20:00,c29
393,21:30:00,21:30:00,c6
393,21:40:00,21:40:00,c29
394,21:45:00,21:45:00,c6
394,21:55:00,21:55:00,c29
395,22:00:00,22:00:00,c6
395,22:10:00,22:10:00,c29
396,22:30:00,22:30:00,c6
396,22:40:00,22:40:00,c29
397,23:05:00,23:05:00,c6
397,23:15:00,23:15:00,c29
398,23:30:00,23:30:00,c6
398,23:40:00,23:40:00,c29
399,23:50:00,23:50:00,c6
399,24:00:00,24:00:00,c29
400,0:45:00,0:45:00,c6
400,0:55:00,0:55:00,c29
401,1:45:00,1:45:00,c6
401,1:55:00,1:55:00,c29
402,2:45:00,2:45:00,c6
402,2:55:00,2:55:00,c29
403,3:45:00,3:45:00,c6
403,3:55:00,3:55:00,c29
404,4:30:00,4:30:00,c6
404,4:40:00,4:40:00,c29
405,5:15:00,5:15:00,c6
405,5:25:00,5:25:00,c29
406,5:50:00,5:50:00,c6
406,6:00:00,6:00:00,c29
407,6:10:00,6:10:00,c6
407,6:20:00,6:20:00,c29
408,6:25:00,6:25:00,c6
408,6:35:00,6:35:00,c29
